ID,IID,Title,Description,Type,URL,State,Confidential,Locked,Milestone,Labels,Author,Author Username,Assignee,Assignee Username,Created At (UTC),Updated At (UTC),Closed At (UTC),Due Date,Start Date,Parent ID,Parent IID,Parent Title,Time Estimate,Time Spent,Weight
174061757,27,"[US2.7] As a user, I want to write a review for a specific movie.","**Acceptance Criteria:** Ability to make a review of the movie if user is logged in and has watched the movie.
**Motive:** User wants to write his opinion for a movie.",Issue,https://gitlab.com/ads-mei/project-ads-mei/-/issues/27,Closed,No,No,,"US, done",Gonçalo Borges,goncalonpb,"","",2025-09-28 15:56:36,2025-09-28 18:10:37,2025-09-28 17:33:19,,,,,,,,
174061780,28,"[US5.1] As a user, I want to sign up","**Acceptance Criteria:** 
- Be able to sign up a new user with a non existing email/username and password.
- User should choose his preferred genres upon account creation.

**Motive:** 
- User wants to create a new account.",Issue,https://gitlab.com/ads-mei/project-ads-mei/-/issues/28,Closed,No,No,,"US, done",Gonçalo Borges,goncalonpb,"","",2025-09-28 15:57:37,2025-09-28 18:04:55,2025-09-28 17:33:25,,,,,,,,
174061796,29,"[US5.2] As a user, I want to log in.","**Acceptance Criteria:** Be able to log in as a user with an email/username and password.
**Motive:** User wants to access his account.",Issue,https://gitlab.com/ads-mei/project-ads-mei/-/issues/29,Closed,No,No,,"US, done",Gonçalo Borges,goncalonpb,"","",2025-09-28 15:58:02,2025-09-28 17:33:58,2025-09-28 17:33:58,,,,,,,,
174062005,30,"[US4.1] As a user I want to have a page for reviews, so that I can feel the sense of community.","**Acceptance criteria:**
- Creation of a page for reviews.
- Each review should have text, the author of the review, post date, related movie, rating, replies, likes.

**Motive:** 
- Improve overall community.",Issue,https://gitlab.com/ads-mei/project-ads-mei/-/issues/30,Open,No,No,,"US, done",Francisco Loureiro,floureiro4,"","",2025-09-28 16:04:47,2025-10-01 18:07:00,,,,,,,,,
174062092,31,"[US7.4] As a developer, i want the database almost always available, so that i can access the data.","**Acceptance Criteria:**
- Data availability is assured by the chosen cloud provider.

**Motive:**
- Developers must have data accessible.",Issue,https://gitlab.com/ads-mei/project-ads-mei/-/issues/31,Open,No,No,,"US, done",Francisco Pereira,FranciscoPereira04,"","",2025-09-28 16:07:53,2025-10-01 18:15:54,,,,,,,,,
174062130,32,[US9] User Page,"",Issue,https://gitlab.com/ads-mei/project-ads-mei/-/issues/32,Open,No,No,,"US, done",Francisco Pereira,FranciscoPereira04,"","",2025-09-28 16:10:25,2025-10-01 20:40:01,,,,,,,,,
174062131,33,"[US4.2] As a  user, I want to rate other people's reviews.","**Acceptance Criteria:**
- Rating is only available to logged-in users.
- Logged-out users see a prompt to log if they try to rate.

**Motive:**
- Rating each other's reviews helps create a sense of participation and community among users.",Issue,https://gitlab.com/ads-mei/project-ads-mei/-/issues/33,Closed,No,No,,"US, done",Francisco Loureiro,floureiro4,"","",2025-09-28 16:10:30,2025-09-28 18:03:10,2025-09-28 17:29:22,,,,,,,,
174062189,34,"[US4.3] As a user, I want to reply to a review, so that i can express my opinion.","**Acceptance criteria:**
- Reply is only available to logged-in user.
- Logged-out users must be asked to log-in if they try to reply to a review.

**Motive:** 
- Replying to each other's reviews helps create a sense of participation and community among users.",Issue,https://gitlab.com/ads-mei/project-ads-mei/-/issues/34,Closed,No,No,,"US, done",Francisco Loureiro,floureiro4,"","",2025-09-28 16:15:03,2025-10-01 18:23:35,2025-09-28 17:28:55,,,,,,,,
174062733,36,"[US8.1] As an administrator, I want the full software to be deployed to a cloud environment, so that it is scalable and resilient.","**Acceptance Criteria:**
- Application is deployed to a cloud provider.
- Users can access the site developed.

**Motive:** 
- Users can access the service reliably.
- Infrastructure must be scalable.",Issue,https://gitlab.com/ads-mei/project-ads-mei/-/issues/36,Closed,No,No,,"US, done",Francisco Loureiro,floureiro4,"","",2025-09-28 16:28:45,2025-10-01 18:22:59,2025-09-28 17:29:46,,,,,,,,
174062738,37,"[US9.1] As a user, i want to see my profile page, so that i can manage my movie library.","**Acceptance Criteria:**
- The user page must display three sections: Recently Watched, Watched, and Plan-to-Watch.
- Each movie must show its title, poster, and basic metadata.

**Motive:**
- Provide users a space to manage and review their movie preferences and history.",Issue,https://gitlab.com/ads-mei/project-ads-mei/-/issues/37,Closed,No,No,,"US, done",Francisco Pereira,FranciscoPereira04,"","",2025-09-28 16:28:58,2025-10-01 18:22:37,2025-09-28 17:33:50,,,,,,,,
174062887,38,[US8] Cloud integration,"",Issue,https://gitlab.com/ads-mei/project-ads-mei/-/issues/38,Closed,No,No,,US,Francisco Loureiro,floureiro4,"","",2025-09-28 16:33:50,2025-10-01 16:41:01,2025-10-01 16:41:01,,,,,,,,
174217978,42,[US6.1] As a system owner I need all the path and query parameter to resolve successfully so that my website works correctly,"**Acceptance criteria:** 
1. All the tested uses of the API within the code work accordingly to what's expected

**Motive:**
If the API requests are not working correctly the website won't work.",Issue,https://gitlab.com/ads-mei/project-ads-mei/-/issues/42,Closed,No,No,,US,Francisco Loureiro,floureiro4,Francisco Loureiro,floureiro4,2025-10-01 16:34:08,2025-10-01 18:13:15,2025-10-01 18:13:15,,,,,,,,
174218392,43,"[US4.4] As a system administrator I don't want the replies to have obscene wording, so that the users don't feels discomfort using the website.","**Acceptance criteria:** The filter system must be implemented and working, filtering or disallowing the review to be posted.
**Motive:** So that manual moderation isn't needed to filter obscene messages.",Issue,https://gitlab.com/ads-mei/project-ads-mei/-/issues/43,Open,No,No,,"US, done",Francisco Loureiro,floureiro4,Francisco Loureiro,floureiro4,2025-10-01 16:49:23,2025-10-01 18:12:51,,,,,,,,,
